Kind,Name,CountClassCoupled,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,CountClassBase,CountClassDerived,MaxInheritanceTree,CountDeclClass,CountDeclInstanceMethod,CountLineCode,CountLineComment
Package,"br.edu.utfpr.biblioteca.salas.model",,,1,37,,1,,,,4,32,156,42
Public Class,"br.edu.utfpr.biblioteca.salas.model.Dia",2,42,1,8,,1,1,0,1,,7,28,8
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.Dia.Dia",,,,1,1,0,,,,,,4,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.addHora",,,,2,1,1,,,,,,5,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getData",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getHorario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getStrDia",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.setData",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.setHorario",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.model.Hora",2,45,1,15,,1,2,0,1,,11,59,11
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.Hora.Hora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.addReserva",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.clone",,,,1,1,0,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.compareTo",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getDisableReserva",,,,2,1,1,,,,,,8,5
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getId",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getReservas",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getStatusReserva",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.setHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.setReservas",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas",0,62,1,10,,0,1,0,1,,10,39,4
